,0
1948,21.8
1949,14.52
1950,12.0
1951,10.77
1952,17.89
1953,18.74
1954,20.91
1955,14.12
1956,13.84
1957,21.04
1958,9.13
1959,7.63
1960,8.42
1961,14.54
1962,23.01
1963,17.78
1964,14.94
1965,14.61
1966,14.68
1967,8.78
1968,7.45
1969,22.9
1970,24.44
1971,23.01
1972,18.21
1973,14.28
1974,11.77
1975,9.65
1976,16.41
1977,16.47
1978,13.24
1979,11.95
1980,15.87
1981,15.01
1982,11.15
1983,16.78
1984,16.47
1985,12.59
1986,17.09
1987,18.51
1988,17.25
1989,23.39
1990,22.95
1991,26.01
1992,17.92
1993,11.35
1994,16.05
1995,17.01
1996,12.81
1997,17.34
1998,13.35
1999,9.42
2000,11.58
2001,19.38
2002,23.04
2003,26.05
2004,12.99
2005,13.88
2006,14.48
2007,25.06
2008,14.92
2009,19.34
2010,16.08
2011,16.67
2012,18.29
2013,17.6
2014,11.68
2015,11.91
2016,19.05
2017,12.04
2018,12.57
2019,13.73
2020,12.5
2021,12.02
2022,15.54
2023,11.82
2024,15.14
2025,16.38
2026,14.34
2027,12.09
2028,13.99
2029,14.28
2030,16.08
2031,14.61
2032,18.69
2033,17.3
2034,16.07
2035,15.14
2036,16.25
2037,15.43
2038,13.53
2039,13.64
2040,12.57
2041,12.6
2042,11.2
2043,13.33
2044,15.48
2045,11.93
2046,15.17
2047,13.57
2048,6.96
2049,15.63
2050,11.53
2051,10.82
2052,10.46
2053,12.24
2054,11.84
2055,11.37
2056,13.06
2057,10.69
2058,9.73
2059,9.4
2060,14.04
2061,15.76
2062,18.36
2063,19.14
2064,20.67
2065,18.69
2066,20.2
2067,20.62
2068,18.94
2069,20.04
2070,12.93
2071,9.34
2072,11.86
2073,14.43
2074,10.2
2075,17.05
2076,8.82
2077,10.31
2078,6.63
2079,14.97
2080,18.32
2081,14.86
2082,10.8
2083,12.77
2084,13.48
2085,8.94
2086,8.12
2087,10.56
2088,15.37
2089,17.96
2090,19.25
2091,19.51
2092,34.7
2093,34.55
2094,14.3
2095,13.32
2096,9.38
2097,6.39
2098,5.48
2099,7.29
2100,14.77
2101,11.2
2102,15.74
2103,13.48
2104,11.46
2105,23.24
2106,20.66
2107,16.59
2108,7.18
2109,10.36
2110,12.71
2111,19.0
2112,25.26
2113,26.01
2114,15.3
2115,17.85
2116,28.51
2117,30.07
2118,24.01
2119,31.15
2120,33.84
2121,35.41
2122,36.08
2123,41.04
2124,46.83
2125,30.4
2126,18.2
2127,36.78
2128,19.31
2129,55.88
2130,48.51
2131,33.42
2132,12.91
2133,10.27
2134,14.75
2135,25.26
2136,37.12
2137,26.52
2138,25.17
2139,16.85
2140,20.16
2141,16.58
2142,22.24
2143,19.14
